CIK,Ticker,Company Name,Price,Incorporated,Located,Market Cap,Float,Shares Outstanding,S/O Ratio,F/AV,Direction,FTD,Volume,Avg Volume,Sector,News,Skip Reason,Timestamp
1648416,RACE,Ferrari N.V.,352.86,Spain,Italy,62749769728,17494660,176490100,9.91%,22.35,LONG,4352,269046,782919,Automobiles,Stock Buyback,"Location not whitelisted (Madrid, Spain, Milan, Italy)",1775837236000
314590,SSL,SASOL LTD,12.77,South Africa,South Africa,8141356032,N/A,631206335,N/A,N/A,LONG,58727,1255915,2765185,Chemicals,Press Release,"Location not whitelisted (Johannesburg, South Africa, Johannesburg, South Africa)",1775838611000
1516912,OBK,"Origin Bancorp, Inc.",44.78,Louisiana,Louisiana,1387450624,N/A,30981298,N/A,N/A,LONG,2124,51975,217222,Banking,Unregistered Equity Sales,"Location not whitelisted (Louisiana, Louisiana)",1775839359000
1756607,EQX,Equinox Gold Corp.,15.03,Canada,Canada,11860791296,N/A,789141211,N/A,N/A,LONG,49472,3147160,10773016,Metals & Mining,Clinical Success,Not enough signal weight,1775839419000
1787518,DFNS,T3 Defense Inc.,0.4767,Delaware,New York,14780689,1250000,31006270,4.03%,0.66,SHORT,284446,1691953,1883229,Technology,Convertible Debt; Asset Disposition; Unregistered Equity Sales,Not enough signal weight,1775839817000
1886362,MGAM,"Mobile Global Esports, Inc.",0.03,Delaware,Connecticut,1933691,43436500,64456391,67.39%,772.47,LONG,N/A,10500,56231,Media,Press Release,"Insufficient core signal categories (need 2+, found 0)",1776074581000
1835724,ZH,Zhihu Inc.,3.21,Cayman Islands,China,283580288,10154491,83193841,12.21%,23.87,SHORT,535,289290,425431,Media,Convertible Debt; Stock Buyback,"Insufficient core signal categories (need 2+, found 1)",1776074621000
1477081,KGEI,Kolibri Global Energy Inc.,5.04,Florida,Canada,179001024,37367894,35474306,105.3%,215.07,N/A,73950,106741,173746,N/A,Bankruptcy Filing; Unregistered Equity Sales,F/AV 215.07x exceeds max threshold of 90x,1776074621000
1809587,BEKE,KE Holdings Inc.,15.84,Cayman Islands,China,17725827072,3529617544,1073327710,328.8%,791.74,SHORT,845134,3690807,4458030,Real Estate,Convertible Debt; Stock Buyback,Float too large: 3529.6M exceeds 50M limit (6-K),1776074617000
1676725,IDYA,"IDEAYA Biosciences, Inc.",30.5,Delaware,Canada,2678327808,86961000,87814027,99.03%,92.99,LONG,16287,811882,935200,Biotechnology,Clinical Success,Float too large: 87.0M exceeds 75M limit (8-K),1776074715000
1999860,WYHG,Wing Yip Food Holdings Group Ltd,0.57,Hong Kong,China,28688628,20653600,50330928,41.04%,819.59,SHORT,N/A,3542743,25200,N/A,Accounting Restatement,"Insufficient core signal categories (need 2+, found 0)",1776197425000
54187,MAYS,MAYS J W INC,40.49,New York,New York,81618936,493420,2015780,24.48%,352.19,LONG,56,424,1401,Real Estate,Merger/Acquisition; Unregistered Equity Sales,"Location not whitelisted (New York, New York)",1776197442000
924719,SMID,SMITH MIDLAND CORP,32.569,Delaware,Virginia,172765712,2732800,5304606,51.52%,362.54,LONG,1432,14016,7538,Construction,Press Release,"Insufficient core signal categories (need 2+, found 0)",1776197420000
1819994,RKLB,Rocket Lab Corp,72.22,Unknown,Canada,41581916160,2277002,575767300,0.40%,0.11,LONG,1281,20805007,21423561,Aerospace & Defense,Unregistered Equity Sales,"Insufficient core signal categories (need 2+, found 1)",1776197485000
1520358,MAMA,"Mama's Creations, Inc.",15.75,Nevada,New Jersey,640290048,19680000,40653333,48.41%,45.02,LONG,354,786371,437095,Food Products,Commercial Inflection,"Location not whitelisted (Nevada, New Jersey)",1776197549000
2069785,GLOO,"Gloo Holdings, Inc.",6.16,Delaware,Colorado,498085568,1464286,11290196,12.97%,23.28,LONG,3785,110189,62890,Technology,Underwritten Offering; Commercial Inflection; Unregistered Equity Sales,"Alert sent: [LONG] Underwritten Offering, Commercial Inflection, Unregistered Equity Sales (Financial Ratios - Elevated: High Leverage - Debt/Equity Exceeds 3.0) (Bonus: Colorado (via Wilmington, Delaware) 1.3x + Filing Time 1.2x)",1776197635000
1715497,BORR,Borr Drilling Ltd,5.63,Canada,Canada,1735172224,N/A,308201075,N/A,N/A,N/A,1163038,2326060,7803160,N/A,Regulation S Offering; Unregistered Equity Sales,SHORT signal but S/O 0.00% < 10% minimum (unborrow able),1776697811000
313807,BP,BP PLC,45.125,UK,UK,117846777856,784211237,2574793768,30.46%,54.42,LONG,51865,3015932,14411019,Energy,Press Release,"Location not whitelisted (London, UK, London, UK)",1776697883000
